time,Vs,Vo
0,-0.058594,-0.932617
0.001,-0.053711,-0.932617
0.002,-0.058594,-0.927734
0.003,-0.053711,-0.917969
0.004,-0.048828,-0.908203
0.005,-0.048828,-0.893555
0.006,-0.043945,-0.878906
0.007,-0.039063,-0.854492
0.008,-0.029297,-0.825195
0.009,-0.024414,-0.786133
0.01,-0.019531,-0.737305
0.011,-0.009766,-0.595703
0.012,-0.014648,-0.107422
0.013,-0.004883,0.380859
0.014,0.292969,0.849609
0.015,0.693359,1.298828
0.016,1.103516,1.728516
0.017,1.499024,2.143555
0.018,1.860352,2.519532
0.019,2.192383,2.841797
0.02,2.480469,3.144532
0.021,2.719727,3.388672
0.022,2.900391,3.579102
0.023,3.046875,3.706055
0.024,3.105469,3.789063
0.025,3.125,3.793946
0.026,3.071289,3.764649
0.027,2.983399,3.647461
0.028,2.822266,3.496094
0.029,2.612305,3.266602
0.03,2.353516,3.00293
0.031,2.050781,2.700196
0.032,1.699219,2.338867
0.033,1.323242,1.948242
0.034,0.922852,1.523438
0.035,0.488281,1.074219
0.036,0.107422,0.610352
0.037,-0.014648,0.131836
0.038,-0.014648,-0.375977
0.039,-0.014648,-0.688477
0.04,-0.019531,-0.761719
0.041,-0.024414,-0.805664
0.042,-0.03418,-0.839844
0.043,-0.039063,-0.864258
0.044,-0.043945,-0.883789
0.045,-0.048828,-0.898438
0.046,-0.048828,-0.917969
0.047,-0.053711,-0.927734
0.048,-0.053711,-0.932617
0.049,-0.058594,-0.9375
0.05,-0.053711,-0.9375
0.051,-0.053711,-0.932617
0.052,-0.053711,-0.932617
0.053,-0.053711,-0.917969
0.054,-0.048828,-0.908203
0.055,-0.043945,-0.893555
0.056,-0.039063,-0.878906
0.057,-0.039063,-0.854492
0.058,-0.029297,-0.820313
0.059,-0.024414,-0.78125
0.06,-0.019531,-0.732422
0.061,-0.019531,-0.600586
0.062,-0.009766,-0.131836
0.063,-0.004883,0.371094
0.064,0.297852,0.839844
0.065,0.703125,1.298828
0.066,1.103516,1.728516
0.067,1.494141,2.133789
0.068,1.865235,2.514649
0.069,2.192383,2.856446
0.07,2.485352,3.144532
0.071,2.714844,3.388672
0.072,2.905274,3.574219
0.073,3.03711,3.710938
0.074,3.105469,3.78418
0.075,3.115235,3.798829
0.076,3.081055,3.754883
0.077,2.983399,3.657227
0.078,2.827149,3.491211
0.079,2.612305,3.276368
0.08,2.348633,3.007813
0.081,2.045899,2.69043
0.082,1.704102,2.34375
0.083,1.328125,1.953125
0.084,0.927734,1.52832
0.085,0.493164,1.079102
0.086,0.107422,0.605469
0.087,-0.014648,0.12207
0.088,-0.009766,-0.375977
0.089,-0.014648,-0.683594
0.09,-0.019531,-0.766602
0.091,-0.029297,-0.805664
0.092,-0.03418,-0.839844
0.093,-0.039063,-0.859375
0.094,-0.039063,-0.888672
0.095,-0.048828,-0.898438
0.096,-0.048828,-0.913086
0.097,-0.053711,-0.922852
0.098,-0.053711,-0.9375
0.099,-0.058594,-0.932617
0.1,-0.053711,-0.9375
0.101,-0.058594,-0.932617
0.102,-0.048828,-0.9375
0.103,-0.053711,-0.922852
0.104,-0.048828,-0.913086
0.105,-0.043945,-0.893555
0.106,-0.043945,-0.874024
0.107,-0.039063,-0.854492
0.108,-0.029297,-0.820313
0.109,-0.024414,-0.786133
0.11,-0.019531,-0.732422
0.111,-0.009766,-0.595703
0.112,-0.009766,-0.131836
0.113,-0.004883,0.366211
0.114,0.283203,0.849609
0.115,0.698242,1.298828
0.116,1.108399,1.733399
0.117,1.499024,2.138672
0.118,1.860352,2.519532
0.119,2.197266,2.861328
0.12,2.480469,3.149414
0.121,2.719727,3.383789
0.122,2.900391,3.574219
0.123,3.032227,3.706055
0.124,3.100586,3.78418
0.125,3.125,3.798829
0.126,3.076172,3.754883
0.127,2.983399,3.652344
0.128,2.832032,3.496094
0.129,2.626953,3.266602
0.13,2.34375,2.998047
0.131,2.045899,2.69043
0.132,1.704102,2.338867
0.133,1.328125,1.958008
0.134,0.917969,1.533203
0.135,0.50293,1.083984
0.136,0.107422,0.615234
0.137,-0.009766,0.117188
0.138,-0.009766,-0.375977
0.139,-0.014648,-0.683594
0.14,-0.019531,-0.761719
0.141,-0.029297,-0.805664
0.142,-0.03418,-0.834961
0.143,-0.039063,-0.859375
0.144,-0.039063,-0.883789
0.145,-0.043945,-0.90332
0.146,-0.048828,-0.927734
0.147,-0.058594,-0.922852
0.148,-0.053711,-0.932617
0.149,-0.058594,-0.932617
0.15,-0.058594,-0.9375
0.151,-0.058594,-0.9375
0.152,-0.053711,-0.9375
0.153,-0.053711,-0.922852
0.154,-0.048828,-0.908203
0.155,-0.043945,-0.893555
0.156,-0.043945,-0.874024
0.157,-0.03418,-0.854492
0.158,-0.029297,-0.825195
0.159,-0.024414,-0.786133
0.16,-0.014648,-0.737305
0.161,-0.014648,-0.595703
0.162,-0.009766,-0.131836
0.163,-0.004883,0.366211
0.164,0.297852,0.854492
0.165,0.703125,1.303711
0.166,1.108399,1.728516
0.167,1.499024,2.133789
0.168,1.855469,2.514649
0.169,2.202149,2.856446
0.17,2.485352,3.144532
0.171,2.714844,3.388672
0.172,2.905274,3.574219
0.173,3.041992,3.706055
0.174,3.105469,3.78418
0.175,3.120118,3.793946
0.176,3.085938,3.754883
