LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	No
Time_Pref	Relative
Operator	lvuser
Date	2025/09/11
Time	23:04:29.7680940000000000545
***End_of_Header***	
	
Channels	1	
Samples	640	
Date	2025/09/11	
Time	23:04:29.7680940000000000545	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value	time	Comment
	0.898438
	0.898438
	0.893555
	0.898438
	0.898438
	0.898438
	0.898438
	0.903320
	0.898438
	0.903320
	0.903320
	0.903320
	0.903320
	0.903320
	0.908203
	0.908203
	0.908203
	0.908203
	0.908203
	0.908203
	0.913086
	0.908203
	0.913086
	0.913086
	0.913086
	0.913086
	0.913086
	0.917969
	0.913086
	0.913086
	0.917969
	0.917969
	0.917969
	0.917969
	0.917969
	0.917969
	0.922852
	0.917969
	0.922852
	0.922852
	0.922852
	0.927734
	0.922852
	0.922852
	0.922852
	0.927734
	0.927734
	0.927734
	0.927734
	0.922852
	0.927734
	0.927734
	0.927734
	0.932617
	0.927734
	0.927734
	0.932617
	0.932617
	0.932617
	0.932617
	0.932617
	0.932617
	0.932617
	0.937500
	0.932617
	0.932617
	0.937500
	0.932617
	0.937500
	0.937500
	0.937500
	0.937500
	0.937500
	0.937500
	0.937500
	0.942383
	0.937500
	0.937500
	0.942383
	0.937500
	0.942383
	0.942383
	0.937500
	0.942383
	0.942383
	0.937500
	0.942383
	0.942383
	0.942383
	0.947266
	0.942383
	0.947266
	0.942383
	0.947266
	0.947266
	0.947266
	0.947266
	0.947266
	0.947266
	0.947266
	0.952149
	0.947266
	0.947266
	0.947266
	0.952149
	0.947266
	0.947266
	0.952149
	0.952149
	0.947266
	0.952149
	0.952149
	0.947266
	0.952149
	0.952149
	0.952149
	0.952149
	0.952149
	0.952149
	0.947266
	0.957031
	0.952149
	0.952149
	0.952149
	0.952149
	0.957031
	0.952149
	0.952149
	0.957031
	0.957031
	0.952149
	0.952149
	0.957031
	0.957031
	0.957031
	0.957031
	0.952149
	0.961914
	0.957031
	0.957031
	0.957031
	0.957031
	0.957031
	0.961914
	0.961914
	0.961914
	0.961914
	0.957031
	0.961914
	0.957031
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.957031
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.961914
	0.966797
	0.966797
	0.961914
	0.961914
	0.961914
	0.966797
	0.966797
	0.961914
	0.966797
	0.966797
	0.966797
	0.961914
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.971680
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.966797
	0.971680
	0.966797
	0.971680
	0.971680
	0.966797
	0.971680
	0.966797
	0.966797
	0.971680
	0.966797
	0.966797
	0.966797
	0.971680
	0.971680
	0.966797
	0.971680
	0.966797
	0.971680
	0.971680
	0.971680
	0.971680
	0.966797
	0.971680
	0.971680
	0.971680
	0.971680
	0.976563
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.976563
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.971680
	0.976563
	0.971680
	0.971680
	0.976563
	0.971680
	0.971680
	0.976563
	0.971680
	0.971680
	0.976563
	0.971680
	0.976563
	0.976563
	0.971680
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.971680
	0.976563
	0.971680
	0.976563
	0.971680
	0.976563
	0.976563
	0.976563
	0.971680
	0.976563
	0.976563
	0.976563
	0.971680
	0.976563
	0.976563
	0.981445
	0.976563
	0.971680
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.981445
	0.976563
	0.976563
	0.981445
	0.976563
	0.976563
	0.981445
	0.976563
	0.981445
	0.981445
	0.976563
	0.981445
	0.981445
	0.981445
	0.976563
	0.981445
	0.981445
	0.976563
	0.981445
	0.981445
	0.981445
	0.981445
	0.981445
	0.981445
	0.976563
	0.981445
	0.981445
	0.976563

