time,Vs,Vo
0,1.928711,-0.214844
0.001,1.90918,0.27832
0.002,1.889649,0.78125
0.003,1.875,1.254883
0.004,1.855469,1.713867
0.005,1.835938,2.163086
0.006,1.826172,2.460938
0.007,1.850586,2.563477
0.008,1.923828,2.670899
0.009,2.026367,2.788086
0.01,2.153321,2.919922
0.011,2.280274,3.051758
0.012,2.407227,3.173828
0.013,2.514649,3.276368
0.014,2.617188,3.359375
0.015,2.680664,3.403321
0.016,2.709961,3.413086
0.017,2.719727,3.369141
0.018,2.69043,3.208008
0.019,2.666016,2.900391
0.02,2.631836,2.53418
0.021,2.607422,2.119141
0.022,2.578125,1.68457
0.023,2.553711,1.201172
0.024,2.524414,0.727539
0.025,2.5,0.219727
0.026,2.475586,-0.27832
0.027,2.441406,-0.65918
0.028,2.426758,-0.751953
0.029,2.397461,-0.81543
0.03,2.373047,-0.859375
0.031,2.348633,-0.893555
0.032,2.319336,-0.922852
0.033,2.299805,-0.947266
0.034,2.275391,-0.966797
0.035,2.25586,-0.981445
0.036,2.231446,-0.991211
0.037,2.207031,-1.000977
0.038,2.182617,-1.000977
0.039,2.158203,-1.000977
0.04,2.133789,-0.991211
0.041,2.114258,-0.981445
0.042,2.089844,-0.961914
0.043,2.075196,-0.942383
0.044,2.045899,-0.922852
0.045,2.03125,-0.883789
0.046,2.006836,-0.849609
0.047,1.987305,-0.805664
0.048,1.967774,-0.751953
0.049,1.94336,-0.639649
0.05,1.928711,-0.214844
0.051,1.90918,0.288086
0.052,1.894531,0.771484
0.053,1.875,1.254883
0.054,1.855469,1.708985
0.055,1.831055,2.153321
0.056,1.821289,2.456055
0.057,1.850586,2.563477
0.058,1.923828,2.661133
0.059,2.026367,2.788086
0.06,2.153321,2.919922
0.061,2.280274,3.061524
0.062,2.407227,3.168946
0.063,2.524414,3.28125
0.064,2.612305,3.359375
0.065,2.680664,3.403321
0.066,2.709961,3.413086
0.067,2.719727,3.369141
0.068,2.69043,3.212891
0.069,2.666016,2.895508
0.07,2.636719,2.529297
0.071,2.607422,2.124024
0.072,2.578125,1.689453
0.073,2.548828,1.196289
0.074,2.524414,0.712891
0.075,2.5,0.224609
0.076,2.470703,-0.27832
0.077,2.446289,-0.65918
0.078,2.421875,-0.756836
0.079,2.397461,-0.81543
0.08,2.373047,-0.859375
0.081,2.34375,-0.893555
