time,Vs,Vo
0,0.234375,0.786133
0.001,0.527344,1.113281
0.002,0.834961,1.445313
0.003,1.137695,1.762695
0.004,1.435547,2.070313
0.005,1.713867,2.358399
0.006,1.987305,2.641602
0.007,2.216797,2.88086
0.008,2.441406,3.100586
0.009,2.626953,3.300782
0.01,2.788086,3.461914
0.011,2.924805,3.588868
0.012,3.017578,3.696289
0.013,3.081055,3.759766
0.014,3.120118,3.793946
0.015,3.120118,3.798829
0.016,3.090821,3.769532
0.017,3.027344,3.710938
0.018,2.929688,3.603516
0.019,2.8125,3.466797
0.02,2.651367,3.320313
0.021,2.465821,3.115235
0.022,2.260742,2.915039
0.023,2.021485,2.670899
0.024,1.762695,2.407227
0.025,1.489258,2.128906
0.026,1.191406,1.816406
0.027,0.893555,1.499024
0.028,0.576172,1.157227
0.029,0.268555,0.805664
0.03,0.014648,0.454102
0.031,-0.014648,0.073242
0.032,-0.014648,-0.288086
0.033,-0.009766,-0.620117
0.034,-0.019531,-0.722656
0.035,-0.024414,-0.766602
0.036,-0.029297,-0.791016
0.037,-0.03418,-0.825195
0.038,-0.03418,-0.849609
0.039,-0.043945,-0.869141
0.04,-0.043945,-0.883789
0.041,-0.048828,-0.898438
0.042,-0.048828,-0.908203
0.043,-0.053711,-0.927734
0.044,-0.053711,-0.927734
0.045,-0.063477,-0.932617
0.046,-0.058594,-0.942383
0.047,-0.063477,-0.9375
0.048,-0.058594,-0.942383
0.049,-0.063477,-0.9375
0.05,-0.058594,-0.952149
0.051,-0.058594,-0.932617
0.052,-0.053711,-0.927734
0.053,-0.053711,-0.913086
0.054,-0.048828,-0.908203
0.055,-0.048828,-0.893555
0.056,-0.043945,-0.883789
0.057,-0.039063,-0.864258
0.058,-0.03418,-0.839844
0.059,-0.03418,-0.820313
0.06,-0.024414,-0.795899
0.061,-0.024414,-0.756836
0.062,-0.014648,-0.703125
0.063,-0.014648,-0.556641
0.064,-0.009766,-0.205078
0.065,-0.009766,0.166016
0.066,0.053711,0.532227
0.067,0.322266,0.888672
0.068,0.629883,1.220703
0.069,0.932617,1.557617
0.07,1.25,1.865235
0.071,1.533203,2.167969
0.072,1.806641,2.456055
0.073,2.060547,2.719727
0.074,2.299805,2.963867
0.075,2.509766,3.168946
0.076,2.69043,3.354493
0.077,2.836914,3.500977
0.078,2.949219,3.632813
0.079,3.041992,3.715821
0.08,3.095703,3.774414
0.081,3.120118,3.803711
0.082,3.115235,3.789063
0.083,3.071289,3.75
0.084,3.007813,3.666993
0.085,2.895508,3.569336
0.086,2.758789,3.417969
0.087,2.592774,3.256836
0.088,2.397461,3.056641
0.089,2.177735,2.841797
0.09,1.94336,2.587891
0.091,1.674805,2.319336
0.092,1.396485,2.021485
0.093,1.108399,1.71875
0.094,0.791016,1.391602
0.095,0.463867,1.054688
0.096,0.161133,0.683594
0.097,-0.009766,0.327148
0.098,-0.009766,-0.039063
0.099,-0.009766,-0.415039
0.1,-0.014648,-0.668945
0.101,-0.024414,-0.737305
0.102,-0.024414,-0.78125
0.103,-0.029297,-0.800781
0.104,-0.029297,-0.834961
0.105,-0.039063,-0.854492
0.106,-0.039063,-0.874024
0.107,-0.048828,-0.888672
0.108,-0.048828,-0.90332
0.109,-0.053711,-0.913086
0.11,-0.058594,-0.922852
0.111,-0.058594,-0.927734
0.112,-0.058594,-0.9375
0.113,-0.058594,-0.9375
0.114,-0.063477,-0.942383
0.115,-0.058594,-0.9375
0.116,-0.063477,-0.932617
0.117,-0.058594,-0.932617
0.118,-0.058594,-0.927734
0.119,-0.053711,-0.922852
0.12,-0.053711,-0.908203
0.121,-0.048828,-0.90332
0.122,-0.048828,-0.888672
0.123,-0.043945,-0.874024
0.124,-0.043945,-0.854492
0.125,-0.03418,-0.839844
0.126,-0.029297,-0.825195
0.127,-0.024414,-0.78125
0.128,-0.024414,-0.742188
0.129,-0.014648,-0.673828
0.13,-0.014648,-0.449219
0.131,-0.009766,-0.073242
0.132,-0.009766,0.292969
0.133,0.131836,0.649414
0.134,0.424805,1.000977
0.135,0.727539,1.333008
0.136,1.035156,1.655274
0.137,1.342774,1.962891
0.138,1.621094,2.265625
0.139,1.894531,2.543946
0.14,2.143555,2.802735
0.141,2.373047,3.03711
0.142,2.573242,3.242188
0.143,2.734375,3.403321
0.144,2.875977,3.549805
0.145,2.988282,3.66211
0.146,3.066407,3.740235
0.147,3.105469,3.789063
0.148,3.125,3.798829
0.149,3.105469,3.78418
0.15,3.061524,3.730469
0.151,2.96875,3.647461
0.152,2.856446,3.515625
0.153,2.700196,3.374024
0.154,2.529297,3.183594
0.155,2.329102,2.993164
0.156,2.104492,2.749024
0.157,1.850586,2.5
0.158,1.582031,2.22168
0.159,1.298828,1.918946
0.16,0.996094,1.591797
0.161,0.688477,1.289063
0.162,0.366211,0.932617
0.163,0.083008,0.571289
0.164,-0.009766,0.200195
0.165,-0.014648,-0.170898
0.166,-0.014648,-0.527344
0.167,-0.019531,-0.693359
0.168,-0.019531,-0.751953
0.169,-0.029297,-0.791016
0.17,-0.029297,-0.820313
0.171,-0.039063,-0.839844
0.172,-0.039063,-0.864258
0.173,-0.043945,-0.874024
0.174,-0.043945,-0.893555
0.175,-0.053711,-0.90332
0.176,-0.048828,-0.917969
0.177,-0.058594,-0.917969
0.178,-0.058594,-0.932617
0.179,-0.058594,-0.9375
0.18,-0.058594,-0.942383
0.181,-0.063477,-0.942383
0.182,-0.063477,-0.942383
0.183,-0.063477,-0.942383
0.184,-0.063477,-0.9375
0.185,-0.053711,-0.932617
0.186,-0.053711,-0.932617
0.187,-0.048828,-0.908203
0.188,-0.048828,-0.898438
0.189,-0.043945,-0.888672
0.19,-0.043945,-0.869141
0.191,-0.039063,-0.854492
0.192,-0.03418,-0.834961
0.193,-0.024414,-0.800781
0.194,-0.024414,-0.761719
0.195,-0.014648,-0.742188
0.196,-0.014648,-0.634766
0.197,-0.014648,-0.327148
0.198,-0.009766,0.048828
0.199,0,0.419922
0.2,0.229492,0.766602
0.201,0.537109,1.118164
0.202,0.834961,1.450195
0.203,1.142578,1.767578
0.204,1.430664,2.06543
0.205,1.713867,2.358399
0.206,1.987305,2.631836
0.207,2.22168,2.88086
0.208,2.441406,3.100586
0.209,2.626953,3.300782
0.21,2.797852,3.452149
0.211,2.919922,3.59375
0.212,3.017578,3.691407
0.213,3.081055,3.75
0.214,3.115235,3.793946
0.215,3.120118,3.793946
0.216,3.095703,3.764649
0.217,3.032227,3.706055
0.218,2.934571,3.608399
0.219,2.8125,3.461914
0.22,2.646485,3.31543
0.221,2.465821,3.125
0.222,2.260742,2.915039
0.223,2.026367,2.666016
0.224,1.762695,2.407227
0.225,1.489258,2.109375
0.226,1.201172,1.821289
