time,Vs,Vo
0,1.982422,-0.986328
0.001,1.962891,-0.991211
0.002,1.94336,-0.996094
0.003,1.923828,-1.000977
0.004,1.899414,-0.991211
0.005,1.884766,-1.000977
0.006,1.860352,-1.010742
0.007,1.840821,-1.000977
0.008,1.821289,-1.000977
0.009,1.806641,-0.996094
0.01,1.78711,-0.991211
0.011,1.767578,-0.986328
0.012,1.748047,-0.966797
0.013,1.733399,-0.97168
0.014,1.708985,-0.957031
0.015,1.694336,-0.952149
0.016,1.674805,-0.942383
0.017,1.660156,-0.932617
0.018,1.645508,-0.913086
0.019,1.625977,-0.90332
0.02,1.611328,-0.883789
0.021,1.591797,-0.874024
0.022,1.577149,-0.849609
0.023,1.557617,-0.825195
0.024,1.547852,-0.805664
0.025,1.52832,-0.776367
0.026,1.518555,-0.742188
0.027,1.499024,-0.693359
0.028,1.484375,-0.610352
0.029,1.47461,-0.405273
0.03,1.455078,-0.161133
0.031,1.44043,0.083008
0.032,1.425781,0.336914
0.033,1.416016,0.595703
0.034,1.401367,0.844727
0.035,1.386719,1.083984
0.036,1.37207,1.328125
0.037,1.367188,1.567383
0.038,1.347656,1.791992
0.039,1.342774,1.953125
0.04,1.347656,2.03125
0.041,1.391602,2.09961
0.042,1.445313,2.177735
0.043,1.52832,2.260742
0.044,1.621094,2.368164
0.045,1.723633,2.485352
0.046,1.831055,2.597657
0.047,1.948242,2.705078
0.048,2.055664,2.817383
0.049,2.172852,2.929688
0.05,2.285156,3.03711
0.051,2.382813,3.144532
0.052,2.485352,3.237305
0.053,2.573242,3.31543
0.054,2.65625,3.393555
0.055,2.719727,3.47168
0.056,2.788086,3.515625
0.057,2.836914,3.559571
0.058,2.875977,3.588868
0.059,2.900391,3.608399
0.06,2.919922,3.613282
0.061,2.919922,3.598633
0.062,2.915039,3.569336
0.063,2.900391,3.510743
0.064,2.875977,3.417969
0.065,2.841797,3.305664
0.066,2.8125,3.164063
0.067,2.788086,3.00293
0.068,2.753907,2.832032
0.069,2.729492,2.651367
0.07,2.700196,2.465821
0.071,2.670899,2.260742
0.072,2.641602,2.055664
0.073,2.617188,1.826172
0.074,2.587891,1.606445
0.075,2.563477,1.367188
0.076,2.539063,1.123047
0.077,2.509766,0.883789
0.078,2.485352,0.639649
0.079,2.456055,0.390625
0.08,2.436524,0.141602
0.081,2.407227,-0.112305
0.082,2.387696,-0.366211
0.083,2.363281,-0.581055
0.084,2.338867,-0.683594
0.085,2.314453,-0.737305
0.086,2.290039,-0.766602
0.087,2.265625,-0.800781
0.088,2.241211,-0.81543
0.089,2.226563,-0.844727
0.09,2.197266,-0.864258
0.091,2.177735,-0.878906
0.092,2.153321,-0.898438
0.093,2.133789,-0.913086
0.094,2.109375,-0.927734
0.095,2.089844,-0.942383
0.096,2.070313,-0.961914
0.097,2.050781,-0.961914
0.098,2.021485,-0.966797
0.099,2.006836,-0.976563
0.1,1.982422,-0.986328
0.101,1.962891,-0.991211
0.102,1.94336,-0.991211
0.103,1.923828,-1.000977
0.104,1.899414,-1.000977
0.105,1.884766,-0.996094
0.106,1.860352,-1.000977
0.107,1.840821,-1.000977
0.108,1.821289,-1.000977
0.109,1.801758,-0.996094
0.11,1.78711,-0.991211
0.111,1.762695,-0.991211
0.112,1.748047,-0.976563
0.113,1.728516,-0.966797
0.114,1.713867,-0.976563
0.115,1.694336,-0.952149
0.116,1.674805,-0.942383
