time,Vs,Vo
0,2.055664,-0.756836
0.001,2.03125,-0.615234
0.002,2.016602,-0.048828
0.003,1.997071,0.571289
0.004,1.972656,1.191406
0.005,1.958008,1.772461
0.006,1.938477,2.319336
0.007,1.933594,2.612305
0.008,1.977539,2.719727
0.009,2.080078,2.836914
0.01,2.202149,2.96875
0.011,2.333985,3.105469
0.012,2.460938,3.227539
0.013,2.563477,3.310547
0.014,2.631836,3.359375
0.015,2.661133,3.34961
0.016,2.651367,3.222657
0.017,2.617188,2.851563
0.018,2.592774,2.373047
0.019,2.563477,1.850586
0.02,2.53418,1.274414
0.021,2.509766,0.673828
0.022,2.480469,0.029297
0.023,2.451172,-0.571289
0.024,2.431641,-0.751953
0.025,2.402344,-0.81543
0.026,2.382813,-0.869141
0.027,2.358399,-0.908203
0.028,2.333985,-0.942383
0.029,2.309571,-0.966797
0.03,2.285156,-0.986328
0.031,2.25586,-0.996094
0.032,2.241211,-1.000977
0.033,2.211914,-0.996094
0.034,2.192383,-0.986328
0.035,2.163086,-0.97168
0.036,2.143555,-0.947266
0.037,2.124024,-0.922852
0.038,2.09961,-0.878906
0.039,2.075196,-0.830078
0.04,2.055664,-0.761719
0.041,2.036133,-0.625
0.042,2.016602,-0.039063
0.043,1.997071,0.576172
0.044,1.977539,1.196289
0.045,1.958008,1.772461
0.046,1.938477,2.304688
0.047,1.933594,2.607422
0.048,1.977539,2.714844
0.049,2.080078,2.827149
0.05,2.202149,2.96875
0.051,2.338867,3.105469
0.052,2.460938,3.222657
0.053,2.563477,3.310547
0.054,2.631836,3.364258
0.055,2.661133,3.344727
0.056,2.651367,3.222657
0.057,2.617188,2.84668
0.058,2.587891,2.37793
0.059,2.558594,1.850586
0.06,2.539063,1.269531
0.061,2.504883,0.673828
0.062,2.485352,0.043945
0.063,2.456055,-0.566406
0.064,2.431641,-0.751953
0.065,2.402344,-0.820313
0.066,2.37793,-0.869141
0.067,2.353516,-0.913086
0.068,2.329102,-0.942383
0.069,2.304688,-0.966797
0.07,2.280274,-0.986328
0.071,2.260742,-0.991211
0.072,2.236328,-1.000977
0.073,2.211914,-0.996094
0.074,2.1875,-0.981445
0.075,2.167969,-0.97168
0.076,2.143555,-0.947266
0.077,2.119141,-0.913086
0.078,2.09961,-0.878906
0.079,2.075196,-0.834961
0.08,2.055664,-0.761719
0.081,2.036133,-0.615234
0.082,2.016602,-0.043945
0.083,1.997071,0.581055
0.084,1.977539,1.196289
0.085,1.958008,1.767578
0.086,1.938477,2.304688
0.087,1.928711,2.607422
0.088,1.977539,2.709961
0.089,2.080078,2.836914
0.09,2.207031,2.973633
0.091,2.338867,3.105469
0.092,2.456055,3.222657
0.093,2.563477,3.310547
0.094,2.631836,3.359375
0.095,2.661133,3.344727
0.096,2.646485,3.222657
0.097,2.617188,2.851563
0.098,2.587891,2.37793
0.099,2.558594,1.845703
0.1,2.53418,1.279297
0.101,2.509766,0.668945
0.102,2.480469,0.03418
0.103,2.451172,-0.556641
0.104,2.431641,-0.742188
0.105,2.407227,-0.81543
0.106,2.37793,-0.869141
0.107,2.353516,-0.908203
0.108,2.329102,-0.942383
0.109,2.304688,-0.97168
0.11,2.285156,-0.981445
0.111,2.265625,-1.000977
0.112,2.231446,-1.000977
0.113,2.211914,-0.996094
0.114,2.1875,-0.986328
0.115,2.167969,-0.97168
0.116,2.138672,-0.947266
0.117,2.124024,-0.917969
0.118,2.09961,-0.874024
0.119,2.080078,-0.830078
0.12,2.055664,-0.761719
0.121,2.041016,-0.629883
0.122,2.016602,-0.058594
0.123,1.997071,0.576172
0.124,1.972656,1.201172
0.125,1.958008,1.767578
0.126,1.938477,2.309571
0.127,1.928711,2.602539
0.128,1.977539,2.714844
0.129,2.075196,2.836914
0.13,2.202149,2.96875
0.131,2.333985,3.105469
0.132,2.456055,3.222657
0.133,2.563477,3.310547
0.134,2.626953,3.354493
0.135,2.65625,3.344727
0.136,2.651367,3.217774
0.137,2.617188,2.851563
0.138,2.592774,2.373047
0.139,2.563477,1.865235
0.14,2.539063,1.274414
0.141,2.509766,0.65918
0.142,2.480469,0.048828
0.143,2.456055,-0.571289
0.144,2.426758,-0.751953
0.145,2.402344,-0.820313
0.146,2.37793,-0.874024
0.147,2.358399,-0.908203
0.148,2.329102,-0.942383
0.149,2.309571,-0.966797
0.15,2.280274,-0.986328
0.151,2.260742,-0.996094
0.152,2.236328,-0.996094
0.153,2.216797,-1.000977
0.154,2.1875,-0.981445
0.155,2.167969,-0.97168
0.156,2.143555,-0.961914
0.157,2.119141,-0.917969
0.158,2.09961,-0.878906
0.159,2.075196,-0.825195
0.16,2.055664,-0.761719
0.161,2.036133,-0.615234
0.162,2.016602,-0.039063
0.163,1.997071,0.576172
0.164,1.977539,1.176758
0.165,1.953125,1.777344
0.166,1.938477,2.299805
0.167,1.928711,2.607422
0.168,1.977539,2.719727
0.169,2.080078,2.836914
0.17,2.202149,2.978516
0.171,2.338867,3.105469
0.172,2.460938,3.222657
0.173,2.563477,3.310547
0.174,2.626953,3.359375
0.175,2.661133,3.344727
0.176,2.646485,3.222657
0.177,2.617188,2.84668
0.178,2.587891,2.382813
0.179,2.56836,1.850586
0.18,2.53418,1.254883
0.181,2.504883,0.65918
0.182,2.485352,0.039063
0.183,2.451172,-0.566406
0.184,2.431641,-0.751953
0.185,2.402344,-0.81543
0.186,2.382813,-0.869141
0.187,2.353516,-0.908203
0.188,2.333985,-0.942383
0.189,2.304688,-0.966797
0.19,2.285156,-0.986328
0.191,2.25586,-0.991211
0.192,2.236328,-1.000977
0.193,2.207031,-1.000977
0.194,2.192383,-0.991211
0.195,2.163086,-0.97168
0.196,2.143555,-0.957031
0.197,2.114258,-0.913086
0.198,2.09961,-0.893555
0.199,2.075196,-0.825195
0.2,2.055664,-0.761719
0.201,2.036133,-0.625
0.202,2.011719,-0.053711
0.203,1.997071,0.595703
0.204,1.977539,1.196289
0.205,1.958008,1.767578
0.206,1.938477,2.304688
0.207,1.933594,2.607422
0.208,1.982422,2.714844
0.209,2.080078,2.836914
0.21,2.197266,2.96875
0.211,2.333985,3.100586
0.212,2.456055,3.227539
0.213,2.558594,3.305664
0.214,2.631836,3.344727
0.215,2.661133,3.344727
0.216,2.646485,3.222657
0.217,2.617188,2.851563
0.218,2.592774,2.37793
0.219,2.558594,1.860352
0.22,2.529297,1.279297
0.221,2.504883,0.664063
0.222,2.480469,0.053711
0.223,2.456055,-0.566406
0.224,2.426758,-0.74707
0.225,2.407227,-0.820313
0.226,2.37793,-0.874024
0.227,2.358399,-0.913086
0.228,2.329102,-0.9375
0.229,2.309571,-0.97168
0.23,2.280274,-0.981445
0.231,2.260742,-0.996094
0.232,2.236328,-1.000977
0.233,2.211914,-1.000977
0.234,2.1875,-0.986328
0.235,2.163086,-0.966797
0.236,2.143555,-0.947266
0.237,2.119141,-0.917969
0.238,2.09961,-0.874024
0.239,2.075196,-0.820313
0.24,2.060547,-0.766602
0.241,2.036133,-0.620117
0.242,2.016602,-0.043945
0.243,1.997071,0.581055
0.244,1.977539,1.186524
0.245,1.958008,1.767578
0.246,1.938477,2.304688
0.247,1.928711,2.607422
0.248,1.982422,2.714844
0.249,2.075196,2.836914
0.25,2.197266,2.96875
0.251,2.333985,3.100586
0.252,2.456055,3.222657
0.253,2.563477,3.310547
0.254,2.626953,3.359375
0.255,2.661133,3.354493
0.256,2.646485,3.237305
0.257,2.617188,2.851563
0.258,2.587891,2.373047
0.259,2.558594,1.840821
0.26,2.53418,1.259766
0.261,2.509766,0.664063
0.262,2.480469,0.048828
0.263,2.456055,-0.561523
0.264,2.431641,-0.74707
0.265,2.402344,-0.81543
0.266,2.382813,-0.869141
0.267,2.353516,-0.913086
0.268,2.333985,-0.942383
0.269,2.304688,-0.966797
0.27,2.280274,-0.986328
0.271,2.25586,-1.000977
0.272,2.236328,-1.010742
0.273,2.211914,-0.996094
0.274,2.1875,-0.981445
0.275,2.167969,-0.97168
0.276,2.143555,-0.942383
0.277,2.124024,-0.917969
0.278,2.09961,-0.878906
0.279,2.084961,-0.825195
0.28,2.055664,-0.761719
0.281,2.041016,-0.620117
0.282,2.016602,-0.039063
0.283,1.997071,0.585938
0.284,1.972656,1.191406
0.285,1.958008,1.772461
0.286,1.938477,2.299805
0.287,1.933594,2.602539
0.288,1.982422,2.714844
0.289,2.080078,2.832032
0.29,2.197266,2.96875
0.291,2.329102,3.110352
0.292,2.460938,3.217774
0.293,2.563477,3.310547
0.294,2.631836,3.354493
0.295,2.661133,3.34961
0.296,2.651367,3.227539
0.297,2.617188,2.851563
0.298,2.587891,2.382813
0.299,2.563477,1.850586
0.3,2.53418,1.269531
0.301,2.504883,0.673828
0.302,2.480469,0.039063
0.303,2.456055,-0.551758
0.304,2.426758,-0.761719
0.305,2.407227,-0.820313
0.306,2.382813,-0.869141
0.307,2.358399,-0.908203
0.308,2.329102,-0.942383
0.309,2.309571,-0.97168
0.31,2.285156,-0.986328
0.311,2.260742,-0.996094
0.312,2.236328,-1.000977
0.313,2.211914,-0.996094
0.314,2.1875,-0.991211
0.315,2.167969,-0.97168
0.316,2.143555,-0.942383
0.317,2.124024,-0.917969
0.318,2.09961,-0.874024
0.319,2.080078,-0.825195
0.32,2.060547,-0.761719
0.321,2.041016,-0.610352
0.322,2.016602,-0.048828
0.323,1.997071,0.581055
0.324,1.977539,1.196289
0.325,1.958008,1.767578
0.326,1.938477,2.304688
0.327,1.933594,2.607422
0.328,1.982422,2.714844
0.329,2.075196,2.836914
0.33,2.202149,2.96875
0.331,2.333985,3.105469
0.332,2.456055,3.227539
0.333,2.558594,3.31543
0.334,2.631836,3.354493
0.335,2.65625,3.344727
0.336,2.651367,3.217774
0.337,2.617188,2.861328
0.338,2.592774,2.363281
0.339,2.558594,1.835938
0.34,2.539063,1.269531
0.341,2.504883,0.673828
0.342,2.480469,0.03418
0.343,2.456055,-0.556641
0.344,2.426758,-0.751953
0.345,2.407227,-0.820313
0.346,2.37793,-0.869141
0.347,2.358399,-0.913086
0.348,2.333985,-0.9375
0.349,2.309571,-0.966797
0.35,2.280274,-0.981445
0.351,2.260742,-1.000977
0.352,2.236328,-0.996094
0.353,2.211914,-1.000977
0.354,2.1875,-0.986328
0.355,2.167969,-0.961914
0.356,2.138672,-0.957031
0.357,2.124024,-0.917969
0.358,2.09961,-0.874024
0.359,2.075196,-0.830078
0.36,2.055664,-0.761719
0.361,2.036133,-0.615234
0.362,2.016602,-0.043945
0.363,1.997071,0.581055
0.364,1.977539,1.191406
0.365,1.958008,1.762695
0.366,1.938477,2.314453
0.367,1.928711,2.607422
0.368,1.977539,2.714844
0.369,2.075196,2.836914
0.37,2.202149,2.96875
0.371,2.333985,3.110352
0.372,2.460938,3.222657
0.373,2.563477,3.31543
0.374,2.631836,3.34961
0.375,2.661133,3.34961
0.376,2.651367,3.222657
0.377,2.617188,2.856446
0.378,2.592774,2.373047
0.379,2.563477,1.855469
0.38,2.539063,1.28418
0.381,2.509766,0.629883
0.382,2.480469,0.039063
0.383,2.456055,-0.566406
0.384,2.431641,-0.751953
0.385,2.407227,-0.825195
0.386,2.37793,-0.869141
0.387,2.353516,-0.913086
0.388,2.329102,-0.9375
