time,Vs,Vo
0,-0.009766,-0.087891
0.001,-0.014648,-0.634766
0.002,-0.014648,-0.756836
0.003,-0.024414,-0.805664
0.004,-0.029297,-0.849609
0.005,-0.039063,-0.874024
0.006,-0.039063,-0.898438
0.007,-0.043945,-0.908203
0.008,-0.043945,-0.922852
0.009,-0.048828,-0.927734
0.01,-0.048828,-0.927734
0.011,-0.048828,-0.927734
0.012,-0.043945,-0.917969
0.013,-0.043945,-0.908203
0.014,-0.039063,-0.883789
0.015,-0.03418,-0.859375
0.016,-0.029297,-0.834961
0.017,-0.024414,-0.795899
0.018,-0.019531,-0.737305
0.019,-0.014648,-0.541992
0.02,-0.009766,0.087891
0.021,0.161133,0.683594
0.022,0.668945,1.269531
0.023,1.176758,1.806641
0.024,1.669922,2.319336
0.025,2.094727,2.744141
0.026,2.456055,3.120118
0.027,2.758789,3.417969
0.028,2.96875,3.647461
0.029,3.095703,3.764649
0.03,3.125,3.803711
0.031,3.071289,3.740235
0.032,2.919922,3.588868
0.033,2.69043,3.359375
0.034,2.363281,3.017578
0.035,2.001953,2.636719
0.036,1.552735,2.182617
0.037,1.064453,1.669922
0.038,0.541992,1.118164
0.039,0.058594,0.532227
0.04,-0.009766,-0.097656
0.041,-0.014648,-0.634766
0.042,-0.019531,-0.74707
0.043,-0.029297,-0.805664
0.044,-0.029297,-0.844727
0.045,-0.039063,-0.869141
0.046,-0.039063,-0.893555
0.047,-0.043945,-0.908203
0.048,-0.048828,-0.922852
0.049,-0.048828,-0.917969
0.05,-0.048828,-0.927734
0.051,-0.048828,-0.917969
0.052,-0.043945,-0.922852
0.053,-0.043945,-0.908203
0.054,-0.039063,-0.888672
0.055,-0.03418,-0.864258
0.056,-0.029297,-0.834961
0.057,-0.024414,-0.800781
0.058,-0.019531,-0.737305
0.059,-0.009766,-0.532227
0.06,-0.014648,0.063477
0.061,0.166016,0.693359
0.062,0.673828,1.28418
0.063,1.176758,1.811524
0.064,1.674805,2.314453
0.065,2.089844,2.734375
0.066,2.456055,3.125
0.067,2.758789,3.427735
0.068,2.96875,3.642578
0.069,3.100586,3.764649
0.07,3.129883,3.803711
0.071,3.066407,3.740235
0.072,2.919922,3.598633
0.073,2.685547,3.344727
0.074,2.373047,3.017578
0.075,1.992188,2.622071
0.076,1.547852,2.182617
0.077,1.05957,1.669922
0.078,0.537109,1.123047
0.079,0.053711,0.537109
0.08,-0.009766,-0.087891
0.081,-0.014648,-0.629883
0.082,-0.014648,-0.756836
0.083,-0.029297,-0.805664
0.084,-0.029297,-0.844727
0.085,-0.039063,-0.874024
0.086,-0.039063,-0.898438
0.087,-0.048828,-0.908203
0.088,-0.048828,-0.922852
0.089,-0.048828,-0.927734
0.09,-0.048828,-0.927734
0.091,-0.048828,-0.927734
0.092,-0.043945,-0.917969
0.093,-0.043945,-0.913086
0.094,-0.039063,-0.888672
0.095,-0.03418,-0.869141
0.096,-0.029297,-0.834961
0.097,-0.024414,-0.800781
0.098,-0.019531,-0.737305
0.099,-0.014648,-0.546875
0.1,-0.014648,0.068359
0.101,0.15625,0.698242
0.102,0.668945,1.259766
0.103,1.186524,1.806641
0.104,1.660156,2.319336
0.105,2.094727,2.749024
0.106,2.465821,3.120118
0.107,2.768555,3.417969
0.108,2.963867,3.642578
0.109,3.090821,3.759766
0.11,3.115235,3.798829
0.111,3.066407,3.740235
0.112,2.924805,3.59375
0.113,2.69043,3.354493
0.114,2.363281,3.017578
0.115,1.992188,2.631836
0.116,1.552735,2.182617
0.117,1.064453,1.669922
0.118,0.537109,1.118164
0.119,0.058594,0.532227
0.12,-0.014648,-0.078125
0.121,-0.009766,-0.634766
0.122,-0.019531,-0.756836
0.123,-0.024414,-0.810547
0.124,-0.03418,-0.844727
0.125,-0.029297,-0.874024
0.126,-0.039063,-0.893555
0.127,-0.043945,-0.913086
0.128,-0.048828,-0.922852
0.129,-0.048828,-0.922852
0.13,-0.043945,-0.932617
0.131,-0.048828,-0.922852
0.132,-0.048828,-0.917969
0.133,-0.048828,-0.90332
0.134,-0.039063,-0.888672
0.135,-0.039063,-0.854492
0.136,-0.029297,-0.844727
0.137,-0.024414,-0.795899
0.138,-0.014648,-0.737305
0.139,-0.014648,-0.537109
0.14,-0.009766,0.078125
0.141,0.170898,0.698242
0.142,0.673828,1.264649
0.143,1.176758,1.811524
0.144,1.665039,2.319336
0.145,2.089844,2.749024
0.146,2.456055,3.125
0.147,2.753907,3.422852
0.148,2.973633,3.637696
0.149,3.090821,3.754883
0.15,3.129883,3.813477
0.151,3.066407,3.75
0.152,2.924805,3.588868
0.153,2.69043,3.34961
0.154,2.358399,3.017578
0.155,1.997071,2.636719
0.156,1.547852,2.1875
0.157,1.054688,1.669922
0.158,0.561523,1.123047
0.159,0.053711,0.537109
0.16,-0.009766,-0.078125
0.161,-0.014648,-0.634766
0.162,-0.019531,-0.756836
0.163,-0.024414,-0.810547
0.164,-0.029297,-0.844727
0.165,-0.039063,-0.869141
0.166,-0.039063,-0.898438
0.167,-0.043945,-0.908203
0.168,-0.043945,-0.913086
0.169,-0.048828,-0.922852
0.17,-0.043945,-0.932617
0.171,-0.048828,-0.932617
0.172,-0.043945,-0.913086
0.173,-0.043945,-0.908203
0.174,-0.039063,-0.888672
0.175,-0.03418,-0.874024
0.176,-0.029297,-0.849609
0.177,-0.019531,-0.800781
0.178,-0.019531,-0.737305
0.179,-0.014648,-0.532227
0.18,-0.009766,0.073242
0.181,0.151367,0.688477
0.182,0.664063,1.269531
0.183,1.181641,1.796875
0.184,1.674805,2.314453
0.185,2.094727,2.739258
0.186,2.456055,3.129883
0.187,2.758789,3.422852
0.188,2.963867,3.637696
0.189,3.095703,3.769532
0.19,3.125,3.798829
0.191,3.071289,3.740235
0.192,2.924805,3.583985
0.193,2.685547,3.34961
0.194,2.368164,3.022461
0.195,1.992188,2.646485
0.196,1.547852,2.177735
0.197,1.049805,1.665039
0.198,0.537109,1.108399
0.199,0.073242,0.537109
0.2,-0.014648,-0.092773
0.201,-0.014648,-0.620117
0.202,-0.019531,-0.761719
0.203,-0.029297,-0.805664
0.204,-0.029297,-0.849609
0.205,-0.039063,-0.874024
0.206,-0.039063,-0.898438
0.207,-0.043945,-0.908203
0.208,-0.043945,-0.917969
0.209,-0.048828,-0.927734
0.21,-0.048828,-0.932617
0.211,-0.048828,-0.927734
0.212,-0.048828,-0.922852
0.213,-0.043945,-0.908203
0.214,-0.043945,-0.888672
0.215,-0.03418,-0.869141
0.216,-0.03418,-0.839844
0.217,-0.024414,-0.795899
0.218,-0.019531,-0.727539
0.219,-0.009766,-0.527344
0.22,-0.014648,0.087891
0.221,0.15625,0.698242
0.222,0.664063,1.259766
0.223,1.171875,1.806641
