time,Vs,Vo
0.192,2.084961,-0.996094
0.193,2.06543,-1.005859
0.194,2.041016,-1.000977
0.195,2.026367,-0.991211
0.196,2.006836,-0.981445
0.197,1.982422,-0.97168
0.198,1.962891,-0.957031
0.199,1.938477,-0.942383
0.2,1.923828,-0.922852
0.201,1.899414,-0.898438
0.202,1.884766,-0.878906
0.203,1.860352,-0.844727
0.204,1.840821,-0.810547
0.205,1.821289,-0.771484
0.206,1.811524,-0.722656
0.207,1.78711,-0.600586
0.208,1.772461,-0.268555
0.209,1.75293,0.107422
0.21,1.738281,0.46875
0.211,1.71875,0.839844
0.212,1.704102,1.206055
0.213,1.68457,1.552735
0.214,1.669922,1.894531
0.215,1.650391,2.202149
0.216,1.655274,2.338867
0.217,1.694336,2.41211
0.218,1.767578,2.514649
0.219,1.865235,2.622071
0.22,1.982422,2.744141
0.221,2.104492,2.875977
0.222,2.231446,2.998047
0.223,2.348633,3.120118
0.224,2.465821,3.212891
0.225,2.563477,3.320313
0.226,2.65625,3.398438
0.227,2.719727,3.452149
0.228,2.768555,3.481446
0.229,2.792969,3.496094
0.23,2.802735,3.466797
0.231,2.783203,3.393555
0.232,2.758789,3.217774
0.233,2.729492,2.988282
0.234,2.700196,2.72461
0.235,2.670899,2.451172
0.236,2.641602,2.143555
0.237,2.612305,1.821289
0.238,2.583008,1.479492
0.239,2.558594,1.12793
0.24,2.539063,0.756836
0.241,2.509766,0.395508
0.242,2.485352,0.009766
0.243,2.456055,-0.366211
0.244,2.431641,-0.649414
0.245,2.407227,-0.737305
0.246,2.382813,-0.786133
0.247,2.358399,-0.820313
0.248,2.338867,-0.864258
0.249,2.309571,-0.869141
0.25,2.285156,-0.90332
0.251,2.260742,-0.922852
0.252,2.241211,-0.947266
0.253,2.211914,-0.961914
0.254,2.192383,-0.97168
0.255,2.167969,-0.981445
0.256,2.148438,-0.986328
0.257,2.124024,-1.000977
0.258,2.09961,-1.000977
0.259,2.080078,-1.000977
0.26,2.055664,-1.000977
0.261,2.036133,-0.996094
0.262,2.016602,-0.986328
0.263,1.992188,-0.976563
0.264,1.972656,-0.966797
0.265,1.953125,-0.952149
0.266,1.933594,-0.9375
0.267,1.914063,-0.913086
0.268,1.894531,-0.893555
0.269,1.870117,-0.864258
0.27,1.855469,-0.834961
0.271,1.835938,-0.800781
0.272,1.821289,-0.756836
0.273,1.796875,-0.693359
0.274,1.782227,-0.512695
0.275,1.762695,-0.141602
0.276,1.748047,0.229492
0.277,1.728516,0.605469
0.278,1.713867,0.961914
0.279,1.694336,1.31836
0.28,1.679688,1.669922
0.281,1.665039,2.001953
0.282,1.650391,2.25586
0.283,1.665039,2.358399
0.284,1.723633,2.441406
0.285,1.801758,2.548828
0.286,1.90918,2.65625
0.287,2.021485,2.788086
0.288,2.153321,2.915039
0.289,2.270508,3.03711
0.29,2.392578,3.154297
0.291,2.5,3.256836
0.292,2.597657,3.334961
0.293,2.675782,3.417969
0.294,2.739258,3.466797
0.295,2.778321,3.496094
0.296,2.797852,3.486328
0.297,2.797852,3.442383
0.298,2.773438,3.339844
0.299,2.744141,3.139649
0.3,2.714844,2.890625
0.301,2.69043,2.641602
0.302,2.661133,2.348633
0.303,2.631836,2.050781
0.304,2.597657,1.713867
0.305,2.578125,1.362305
0.306,2.548828,1.010742
0.307,2.529297,0.639649
0.308,2.495117,0.263672
0.309,2.470703,-0.117188
0.31,2.446289,-0.478516
0.311,2.421875,-0.688477
0.312,2.397461,-0.751953
0.313,2.37793,-0.800781
0.314,2.34375,-0.830078
0.315,2.329102,-0.864258
0.316,2.299805,-0.888672
0.317,2.275391,-0.913086
0.318,2.25586,-0.932617
0.319,2.231446,-0.952149
0.32,2.207031,-0.961914
0.321,2.1875,-0.976563
0.322,2.158203,-0.986328
0.323,2.143555,-0.996094
0.324,2.114258,-1.000977
0.325,2.094727,-0.996094
0.326,2.075196,-1.000977
0.327,2.050781,-0.996094
0.328,2.03125,-0.991211
0.329,2.006836,-0.981445
0.33,1.987305,-0.976563
0.331,1.967774,-0.961914
0.332,1.948242,-0.942383
0.333,1.923828,-0.922852
0.334,1.904297,-0.90332
0.335,1.884766,-0.878906
0.336,1.870117,-0.854492
0.337,1.845703,-0.825195
0.338,1.831055,-0.791016
0.339,1.811524,-0.742188
0.34,1.791992,-0.65918
0.341,1.777344,-0.390625
0.342,1.757813,-0.014648
0.343,1.743164,0.356445
0.344,1.723633,0.722656
0.345,1.708985,1.09375
0.346,1.689453,1.435547
0.347,1.674805,1.777344
0.348,1.660156,2.104492
0.349,1.650391,2.304688
0.35,1.674805,2.387696
0.351,1.743164,2.475586
0.352,1.831055,2.583008
0.353,1.938477,2.705078
0.354,2.060547,2.832032
0.355,2.192383,2.954102
0.356,2.314453,3.071289
0.357,2.426758,3.198243
0.358,2.53418,3.295899
0.359,2.622071,3.369141
0.36,2.695313,3.432618
0.361,2.753907,3.476563
0.362,2.788086,3.496094
0.363,2.802735,3.476563
0.364,2.788086,3.417969
0.365,2.768555,3.28125
0.366,2.734375,3.071289
0.367,2.705078,2.817383
0.368,2.675782,2.543946
0.369,2.651367,2.246094
0.37,2.622071,1.938477
0.371,2.597657,1.59668
0.372,2.56836,1.240235
0.373,2.539063,0.878906
0.374,2.514649,0.512695
0.375,2.485352,0.141602
0.376,2.460938,-0.234375
0.377,2.436524,-0.585938
0.378,2.41211,-0.712891
0.379,2.387696,-0.766602
0.38,2.368164,-0.810547
0.381,2.338867,-0.839844
